Web Search interest: abdominal pain constipation joint pain muscle pain headache,,,,,
Texas (United States) 2016,,,,,
,,,,,
Interest over time,,,,,
Week,abdominal pain,constipation,joint pain,muscle pain,headache
2016-01-03 - 2016-01-09,25,55,16,16,98
2016-01-10 - 2016-01-16,26,56,13,16,89
2016-01-17 - 2016-01-23,28,54,15,16,92
2016-01-24 - 2016-01-30,25,58,16,15,94
2016-01-31 - 2016-02-06,26,54,13,14,91
2016-02-07 - 2016-02-13,26,57,14,17,89
2016-02-14 - 2016-02-20,24,55,13,16,93
2016-02-21 - 2016-02-27,25,56,14,15,100
2016-02-28 - 2016-03-05,25,51,13,14,92
2016-03-06 - 2016-03-12,22,49,15,14,84
2016-03-13 - 2016-03-19,19,51,14,14,85
2016-03-20 - 2016-03-26,23,50,14,16,85
2016-03-27 - 2016-04-02,24,49,15,17,85
2016-04-03 - 2016-04-09,26,55,15,16,90
2016-04-10 - 2016-04-16,23,56,17,18,88
2016-04-17 - 2016-04-23,25,55,17,15,90
2016-04-24 - 2016-04-30,27,55,16,17,90
2016-05-01 - 2016-05-07,26,50,17,14,88
2016-05-08 - 2016-05-14,25,59,16,16,76
,,,,,
,,,,,
Top metros for abdominal pain,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Abilene-Sweetwater TX,100,79,0,100,91
Waco-Temple-Bryan TX,60,46,24,39,53
Houston TX,56,36,32,29,35
Dallas-Ft. Worth TX,51,39,39,35,40
San Antonio TX,50,32,39,24,34
Austin TX,39,28,27,21,28
Corpus Christi TX,0,61,84,60,63
Shreveport LA,0,66,50,62,60
Victoria TX,0,92,0,0,89
Wichita Falls TX & Lawton OK,0,71,95,0,76
Odessa-Midland TX,0,58,87,51,63
Amarillo TX,0,69,70,40,77
Harlingen-Weslaco-Brownsville-McAllen TX,0,25,18,22,34
Lubbock TX,0,49,36,62,57
Sherman TX-Ada OK,0,84,0,0,100
San Angelo TX,0,100,0,0,60
Beaumont-Port Arthur TX,0,66,100,0,46
Tyler-Longview(Lufkin & Nacogdoches) TX,0,61,74,39,56
Laredo TX,0,35,0,0,39
El Paso TX,0,51,40,28,42
,,,,,
Top metros for constipation,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
San Angelo TX,0,100,0,0,60
Victoria TX,0,92,0,0,89
Sherman TX-Ada OK,0,84,0,0,100
Abilene-Sweetwater TX,100,79,0,100,91
Wichita Falls TX & Lawton OK,0,71,95,0,76
Amarillo TX,0,69,70,40,77
Shreveport LA,0,66,50,62,60
Beaumont-Port Arthur TX,0,66,100,0,46
Tyler-Longview(Lufkin & Nacogdoches) TX,0,61,74,39,56
Corpus Christi TX,0,61,84,60,63
Odessa-Midland TX,0,58,87,51,63
El Paso TX,0,51,40,28,42
Lubbock TX,0,49,36,62,57
Waco-Temple-Bryan TX,60,46,24,39,53
Dallas-Ft. Worth TX,51,39,39,35,40
Houston TX,56,36,32,29,35
Laredo TX,0,35,0,0,39
San Antonio TX,50,32,39,24,34
Austin TX,39,28,27,21,28
Harlingen-Weslaco-Brownsville-McAllen TX,0,25,18,22,34
,,,,,
Top metros for joint pain,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Beaumont-Port Arthur TX,0,66,100,0,46
Wichita Falls TX & Lawton OK,0,71,95,0,76
Odessa-Midland TX,0,58,87,51,63
Corpus Christi TX,0,61,84,60,63
Tyler-Longview(Lufkin & Nacogdoches) TX,0,61,74,39,56
Amarillo TX,0,69,70,40,77
Shreveport LA,0,66,50,62,60
El Paso TX,0,51,40,28,42
San Antonio TX,50,32,39,24,34
Dallas-Ft. Worth TX,51,39,39,35,40
Lubbock TX,0,49,36,62,57
Houston TX,56,36,32,29,35
Austin TX,39,28,27,21,28
Waco-Temple-Bryan TX,60,46,24,39,53
Harlingen-Weslaco-Brownsville-McAllen TX,0,25,18,22,34
Victoria TX,0,92,0,0,89
Sherman TX-Ada OK,0,84,0,0,100
San Angelo TX,0,100,0,0,60
Abilene-Sweetwater TX,100,79,0,100,91
Laredo TX,0,35,0,0,39
,,,,,
Top metros for muscle pain,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Abilene-Sweetwater TX,100,79,0,100,91
Lubbock TX,0,49,36,62,57
Shreveport LA,0,66,50,62,60
Corpus Christi TX,0,61,84,60,63
Odessa-Midland TX,0,58,87,51,63
Amarillo TX,0,69,70,40,77
Waco-Temple-Bryan TX,60,46,24,39,53
Tyler-Longview(Lufkin & Nacogdoches) TX,0,61,74,39,56
Dallas-Ft. Worth TX,51,39,39,35,40
Houston TX,56,36,32,29,35
El Paso TX,0,51,40,28,42
San Antonio TX,50,32,39,24,34
Harlingen-Weslaco-Brownsville-McAllen TX,0,25,18,22,34
Austin TX,39,28,27,21,28
Victoria TX,0,92,0,0,89
Wichita Falls TX & Lawton OK,0,71,95,0,76
Sherman TX-Ada OK,0,84,0,0,100
San Angelo TX,0,100,0,0,60
Beaumont-Port Arthur TX,0,66,100,0,46
Laredo TX,0,35,0,0,39
,,,,,
Top metros for headache,,,,,
Metro,abdominal pain,constipation,joint pain,muscle pain,headache
Sherman TX-Ada OK,0,84,0,0,100
Abilene-Sweetwater TX,100,79,0,100,91
Victoria TX,0,92,0,0,89
Amarillo TX,0,69,70,40,77
Wichita Falls TX & Lawton OK,0,71,95,0,76
Corpus Christi TX,0,61,84,60,63
Odessa-Midland TX,0,58,87,51,63
Shreveport LA,0,66,50,62,60
San Angelo TX,0,100,0,0,60
Lubbock TX,0,49,36,62,57
Tyler-Longview(Lufkin & Nacogdoches) TX,0,61,74,39,56
Waco-Temple-Bryan TX,60,46,24,39,53
Beaumont-Port Arthur TX,0,66,100,0,46
El Paso TX,0,51,40,28,42
Dallas-Ft. Worth TX,51,39,39,35,40
Laredo TX,0,35,0,0,39
Houston TX,56,36,32,29,35
San Antonio TX,50,32,39,24,34
Harlingen-Weslaco-Brownsville-McAllen TX,0,25,18,22,34
Austin TX,39,28,27,21,28
,,,,,
,,,,,
Top cities for abdominal pain,,,,,
City,abdominal pain,,,,
Dallas,100,,,,
Houston,84,,,,
San Antonio,83,,,,
Austin,83,,,,
,,,,,
Top cities for constipation,,,,,
City,constipation,,,,
Plano,100,,,,
Fort Worth,99,,,,
Dallas,92,,,,
Austin,78,,,,
Houston,74,,,,
San Antonio,69,,,,
,,,,,
Top cities for joint pain,,,,,
City,joint pain,,,,
Dallas,100,,,,
San Antonio,84,,,,
Houston,74,,,,
,,,,,
Top cities for muscle pain,,,,,
City,muscle pain,,,,
Dallas,100,,,,
Houston,85,,,,
,,,,,
Top cities for headache,,,,,
City,headache,,,,
El Paso,100,,,,
Dallas,88,,,,
Plano,87,,,,
Fort Worth,86,,,,
Austin,76,,,,
Houston,71,,,,
San Antonio,69,,,,
,,,,,
,,,,,
,,,,,
Top searches for abdominal pain,,,,,
lower abdominal pain,100,,,,
left abdominal pain,60,,,,
right abdominal pain,45,,,,
upper abdominal pain,35,,,,
stomach pain,30,,,,
severe abdominal pain,15,,,,
sharp abdominal pain,15,,,,
appendicitis,10,,,,
gallbladder pain,10,,,,
pancreatitis,5,,,,
,,,,,
,,,,,
Top searches for constipation,,,,,
constipation pain,100,,,,
baby constipation,90,,,,
constipation remedies,85,,,,
constipation symptoms,80,,,,
what is constipation,70,,,,
pregnancy constipation,70,,,,
constipation relief,60,,,,
remedies for constipation,60,,,,
constipation causes,45,,,,
relieve constipation,45,,,,
constipation remedy,35,,,,
dog constipation,35,,,,
severe constipation,35,,,,
constipation medicine,35,,,,
chronic constipation,30,,,,
symptoms of constipation,30,,,,
infant constipation,25,,,,
constipation during pregnancy,25,,,,
constipation treatment,25,,,,
newborn constipation,25,,,,
constipation in babies,25,,,,
what causes constipation,20,,,,
foods for constipation,20,,,,
prune juice,20,,,,
toddler constipation,20,,,,
natural constipation remedies,20,,,,
medicine for constipation,20,,,,
causes of constipation,20,,,,
opioid constipation,20,,,,
constipation while pregnant,15,,,,
constipation in pregnancy,15,,,,
signs of constipation,15,,,,
constipation in toddlers,15,,,,
constipation in dogs,15,,,,
laxatives,10,,,,
constipation in infants,10,,,,
opioid induced constipation,10,,,,
magnesium citrate,10,,,,
constipation after surgery,10,,,,
,,,,,
,,,,,
Top searches for joint pain,,,,,
hip joint pain,100,,,,
si joint pain,60,,,,
shoulder joint pain,50,,,,
,,,,,
,,,,,
Top searches for muscle pain,,,,,
back muscle pain,100,,,,
calf muscle pain,30,,,,
muscle relaxers,10,,,,
,,,,,
,,,,,
Top searches for headache,,,,,
sinus headache,100,,,,
headaches,85,,,,
pressure headache,70,,,,
migraine headache,65,,,,
migraine,65,,,,
tension headache,60,,,,
headache causes,50,,,,
headache rack,45,,,,
headache medicine,40,,,,
bad headache,40,,,,
severe headache,35,,,,
nausea and headache,35,,,,
headache relief,35,,,,
blood pressure headache,25,,,,
cluster headache,25,,,,
headache remedies,25,,,,
headache behind eye,20,,,,
temple headache,20,,,,
constant headache,20,,,,
stress headache,15,,,,
caffeine headache,15,,,,
headache remedy,15,,,,
allergy headache,15,,,,
headache behind eyes,15,,,,
throbbing headache,15,,,,
headache location,10,,,,
headache types,10,,,,
headache during pregnancy,10,,,,
dehydration headache,10,,,,
spinal headache,10,,,,
cluster headaches,10,,,,
meningitis,10,,,,
mild headache,10,,,,
sinus headache relief,10,,,,
headache after eating,10,,,,
flu symptoms,10,,,,
headache chart,5,,,,
brain tumor symptoms,5,,,,
migraine symptoms,5,,,,
ice pick headache,5,,,,
frontal headache,5,,,,
types of headaches,5,,,,
headache in forehead,5,,,,
cervicogenic headache,5,,,,
tension headache symptoms,5,,,,
natural headache remedies,5,,,,
thunderclap headache,5,,,,
headache location meaning,0,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rising searches for constipation,,,,,
opioid induced constipation,70%,,,,
opioid constipation,60%,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Rising searches for headache,,,,,
headache location meaning,70%,,,,
headache chart,50%,,,,
headache location,40%,,,,
headache types,40%,,,,
